time,logger,level,message,exception
2012-06-24 09:18:09.2122,Raven.Database.Server.HttpServer,Debug,"Request #2,357: GET     -    76 ms - HitThatLine - 200 - /stats?noCache=1716943857",
2012-06-24 09:18:09.2386,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Found a total of 5 documents that requires indexing since etag: 00000000-0000-0000-0000-000000000000,
2012-06-24 09:18:09.2484,Raven.Database.Impl.DocumentRetriever,Debug,Triggered Raven.Database.Plugins.Builtins.FilterRavenInternalDocumentsReadTrigger asked us to ignore Raven/Hilo/UserAccounts,
2012-06-24 09:18:09.2581,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,"After read triggers executed, 4 documents remained",
2012-06-24 09:18:09.2581,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,"Going to index 2 documents in IndexName: Temp/DiscussionThreads/ByScoreSortByScore, LastIndexedEtag: 00000000-0000-0000-0000-000000000000",
2012-06-24 09:18:09.2581,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,"Indexing 2 documents for index: Temp/DiscussionThreads/ByScoreSortByScore. (threads/30,threads/31)",
2012-06-24 09:18:09.2747,Raven.Database.Indexing.Index.Indexing,Debug,"Indexing on threads/30 result in index Temp/DiscussionThreads/ByScoreSortByScore gave document: 	__document_id IS: threads/30
	Score I-: 4588.3710381
	Score_Range I-: 4588.3710381
",
2012-06-24 09:18:09.2943,Raven.Database.Indexing.Index.Indexing,Debug,"Indexing on threads/31 result in index Temp/DiscussionThreads/ByScoreSortByScore gave document: 	__document_id IS: threads/31
	Score I-: 4588.3713947
	Score_Range I-: 4588.3713947
",
2012-06-24 09:18:09.2943,Raven.Database.Indexing.Index.Indexing,Debug,Indexed 6 documents for Temp/DiscussionThreads/ByScoreSortByScore,
2012-06-24 09:18:09.3109,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 2 because: WORK BY IndexingExecuter,
2012-06-24 09:18:09.3109,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 2, for: IndexingExecuter, will wait for additional work",
2012-06-24 09:18:09.3109,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 2, for: ReducingExecuter, will wait for additional work",
2012-06-24 09:18:09.3206,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Temp/DiscussionThreads/ByScoreSortByScore for all documents,
2012-06-24 09:18:09.3206,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'threads/31' was found,
2012-06-24 09:18:09.3206,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'threads/30' was found,
2012-06-24 09:18:09.3206,Raven.Database.Server.HttpServer,Debug,"Request #2,358: GET     -   695 ms - HitThatLine - 200 - /indexes/dynamic/DiscussionThreads?query=&start=0&pageSize=20&aggregation=None&sort=-Score",
2012-06-24 09:18:09.3206,Raven.Database.Server.HttpServer,Debug,"	Query: 
	Time: 695 ms
	Index: Temp/DiscussionThreads/ByScoreSortByScore
	Results: 2 returned out of 2 total.
",
2012-06-24 09:18:14.2142,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'users/test' was found,
